Sum of Value,Column Labels,,,,,,ID,Longitude,Latitude,,,,,,,,,,
ASN00058194,136,0,0,136,,,ASN00009039,-32.3536,116.005,,,,,,,,,,
ASN00058199,585,0,0,585,,,ASN00009053,-31.6669,116.0189,,,,,,,,,,
ASN00059045,40,0,0,40,,,ASN00009066,-31.7908,116.1975,,,,,,,,,,
ASN00060042,48,0,0,48,,,ASN00009111,-32.44,116.0744,,,,,,,,,,
ASN00061287,0,314,154,468,,,ASN00009131,-30.3081,115.0311,,,,,,,,,,
ASN00062010,0,0,0,0,,,ASN00009172,-32.1011,115.8794,,,,,,,,,,
ASN00065020,0,0,0,0,,,ASN00009178,-31.4628,115.8642,,,,,,,,,,
ASN00065096,0,0,0,0,,,ASN00009193,-32.0069,115.5022,,,,,,,,,,
ASN00066098,17,0,0,17,,,ASN00009215,-31.9558,115.7619,,,,,,,,,,
ASN00067119,20,238,166,424,,,ASN00009225,-31.9192,115.8728,,,,,,,,,,
ASN00068160,10,0,0,10,,,ASN00009240,-32.0056,116.1364,,,,,,,,,,
ASN00068249,0,0,0,0,,,ASN00009248,-31.332,115.9513,,,,,,60620,,,,
ASN00069022,0,220,158,378,,,ASN00009256,-32.2433,115.6839,,,,,,,,,,
ASN00069062,0,0,0,0,,,ASN00009258,-32.2156,115.8758,,,,,,,,,,
ASN00069127,0,0,0,0,,,ASN00009260,-32.4697,116.2143,,,,,,,,,,
ASN00069133,0,0,0,0,,,ASN00009264,-31.7078,115.7242,,,,,,,,,,
ASN00069138,0,235,163,398,,,ASN00009500,-35.0289,117.8808,,,,,,,,,,
ASN00069148,0,239,164,403,,,ASN00009515,-33.6611,115.3456,,,,,,,,,,
ASN00070278,0,250,120,370,,,ASN00009518,-34.3728,115.1358,,,,,,,,,,
ASN00070328,0,243,90,333,,,ASN00009519,-33.5372,115.0189,,,,,,,,,,
ASN00070330,0,241,128,369,,,ASN00009538,-32.7103,116.0594,,,,,,,,,,
ASN00073007,0,310,0,310,,,ASN00009542,-33.6825,121.8275,,,,,,,,,,
ASN00073050,0,0,0,0,,,ASN00010043,-31.7661,116.9167,,,,,,,,,,
ASN00074127,0,0,0,0,,,ASN00009557,-33.9497,120.1258,,,,,,,,,,
ASN00074162,0,0,0,0,,,ASN00009573,-34.2508,116.145,,,,,,,,,,
ASN00076105,0,0,0,0,,,ASN00009579,-33.7633,122.0675,,,,,,,,,,
